[CV 8/10] END bootstrap;True; criterion;entropy; max_depth;11; max_features;log2; min_impurity_decrease;0.0; min_samples_split;6; n_estimators;450;;score;0.775;time;0.5s
[CV 9/10] END bootstrap;True; criterion;entropy; max_depth;11; max_features;log2; min_impurity_decrease;0.0; min_samples_split;6; n_estimators;450;;score;0.865;time;0.5s
[CV 10/10] END bootstrap;True; criterion;entropy; max_depth;11; max_features;log2; min_impurity_decrease;0.0; min_samples_split;6; n_estimators;450;;score;0.831;time;0.4s
[CV 1/10] END bootstrap;True; criterion;entropy; max_depth;15; max_features;sqrt; min_impurity_decrease;0.1; min_samples_split;9; n_estimators;350;;score;0.611;time;0.2s
[CV 2/10] END bootstrap;True; criterion;entropy; max_depth;15; max_features;sqrt; min_impurity_decrease;0.1; min_samples_split;9; n_estimators;350;;score;0.685;time;0.2s
[CV 3/10] END bootstrap;True; criterion;entropy; max_depth;15; max_features;sqrt; min_impurity_decrease;0.1; min_samples_split;9; n_estimators;350;;score;0.618;time;0.2s
[CV 4/10] END bootstrap;True; criterion;entropy; max_depth;15; max_features;sqrt; min_impurity_decrease;0.1; min_samples_split;9; n_estimators;350;;score;0.618;time;0.2s
[CV 5/10] END bootstrap;True; criterion;entropy; max_depth;15; max_features;sqrt; min_impurity_decrease;0.1; min_samples_split;9; n_estimators;350;;score;0.618;time;0.3s
[CV 6/10] END bootstrap;True; criterion;entropy; max_depth;15; max_features;sqrt; min_impurity_decrease;0.1; min_samples_split;9; n_estimators;350;;score;0.618;time;0.4s
[CV 7/10] END bootstrap;True; criterion;entropy; max_depth;15; max_features;sqrt; min_impurity_decrease;0.1; min_samples_split;9; n_estimators;350;;score;0.618;time;0.3s
[CV 8/10] END bootstrap;True; criterion;entropy; max_depth;15; max_features;sqrt; min_impurity_decrease;0.1; min_samples_split;9; n_estimators;350;;score;0.629;time;0.3s
[CV 9/10] END bootstrap;True; criterion;entropy; max_depth;15; max_features;sqrt; min_impurity_decrease;0.1; min_samples_split;9; n_estimators;350;;score;0.618;time;0.3s
[CV 10/10] END bootstrap;True; criterion;entropy; max_depth;15; max_features;sqrt; min_impurity_decrease;0.1; min_samples_split;9; n_estimators;350;;score;0.663;time;0.3s
[CV 1/10] END bootstrap;False; criterion;entropy; max_depth;17; max_features;sqrt; min_impurity_decrease;0.1; min_samples_split;8; n_estimators;350;;score;0.611;time;0.2s
[CV 2/10] END bootstrap;False; criterion;entropy; max_depth;17; max_features;sqrt; min_impurity_decrease;0.1; min_samples_split;8; n_estimators;350;;score;0.618;time;0.3s
[CV 3/10] END bootstrap;False; criterion;entropy; max_depth;17; max_features;sqrt; min_impurity_decrease;0.1; min_samples_split;8; n_estimators;350;;score;0.618;time;0.2s
[CV 4/10] END bootstrap;False; criterion;entropy; max_depth;17; max_features;sqrt; min_impurity_decrease;0.1; min_samples_split;8; n_estimators;350;;score;0.618;time;0.2s
[CV 5/10] END bootstrap;False; criterion;entropy; max_depth;17; max_features;sqrt; min_impurity_decrease;0.1; min_samples_split;8; n_estimators;350;;score;0.618;time;0.2s
